,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
296,447,men in black,7,10,16,25
297,448,harry potter and the chamber of secrets,4,0,8,26
298,449,reign of fire,7,10,8,20
299,450,wonder woman 1984,7,10,8,20
300,451,dr. no,7,10,12,28
301,452,john carter,7,10,6,1
302,453,frozen,5,10,16,2
303,454,the wizard of oz,4,0,8,26
304,455,pinocchio,4,3,11,33
305,456,harry potter and the prisoner of azkaban,4,0,8,26
306,457,skyfall,7,10,12,28
307,458,the hitchhiker's guide to the galaxy,4,3,6,45
308,459,conan the barbarian,7,10,8,20
309,460,finding nemo,5,10,16,2
310,468,hustle,2,11,1,79
311,473,hocus pocus 2,2,0,8,9
312,474,father of the bride,2,11,9,8
313,477,jug jugg jeeyo,2,11,0,41
314,478,the wolf of wall street,8,3,3,94
315,481,jerry & marge go large,8,3,11,66
316,482,love & gelato,2,11,9,8
317,484,"hello, goodbye and everything in between",2,11,9,8
318,486,mr. malcolm's list,2,11,9,8
319,488,licorice pizza,2,11,9,8
320,489,verdens verste menneske,2,11,9,8
321,490,encanto,5,3,0,95
322,491,sing,5,3,0,95
323,492,the sandlot,2,11,0,41
324,494,hocus pocus,2,0,8,9
325,495,coda,2,11,7,91
326,496,marry me,2,5,9,40
327,499,don't look up,2,11,6,54
328,508,jojo rabbit,2,11,14,67
329,509,knives out,2,2,11,49
330,510,gisaengchung,2,11,12,15
331,513,the girl next door,2,11,9,8
332,516,the french dispatch,2,11,9,8
333,518,nude tuesday,2,11,9,8
334,520,a league of their own,2,11,1,79
335,521,the munsters,2,0,8,9
336,524,hustlers,2,2,11,49
337,526,fresh,2,1,12,12
338,527,marcel the shell with shoes on,5,3,0,95
339,528,grease,2,14,9,36
340,530,don jon,2,11,9,8
341,532,pitch perfect,2,5,9,40
342,541,the music man,2,0,15,43
343,545,up in the air,2,11,9,8
344,546,crazy rich asians,2,11,9,8
345,549,10 things i hate about you,2,11,9,8
346,550,roald dahl's matilda the musical,2,11,0,41
347,552,the big short,8,3,11,66
348,553,the return of the living dead,2,1,6,60
349,556,about time,2,11,8,75
350,557,risky business,2,2,11,49
351,559,the phantom of the open,2,11,1,79
352,561,steel magnolias,2,11,9,8
353,563,vengeance,2,4,12,77
354,564,annie,2,11,0,41
355,565,love actually,2,11,9,8
356,566,vice,8,3,11,66
357,567,the terminal,2,11,9,8
358,568,funny face,2,14,9,36
359,569,la la land,2,11,7,91
360,573,the longest yard,2,2,11,49
361,575,emma.,2,11,9,8
362,576,lol,2,11,9,8
363,577,a simple favor,2,2,4,16
364,578,the wedding singer,2,5,9,40
365,579,queen bees,2,11,9,8
366,582,"crazy, stupid, love.",2,11,9,8
367,583,war dogs,8,3,3,94
368,584,green book,8,3,11,66
369,585,cocktail,2,11,9,8
370,586,the proposal,2,11,9,8
371,591,baywatch,7,3,3,59
372,593,zola,2,2,11,49
373,595,matilda,2,0,8,9
