RoboCop,Action,Crime,Sci-Fi
Aquaman,Action,Adventure,Fantasy
Willow,Action,Adventure,Drama
The Amazing Spider-Man 2,Action,Adventure,Sci-Fi
Logan,Action,Drama,Sci-Fi
The Hunt,Action,Horror,Thriller
Wonder Woman,Action,Adventure,Fantasy
Batgirl,Action,Adventure,Crime
Tropic Thunder,Action,Comedy,War
Total Recall,Action,Adventure,Sci-Fi
Mission: Impossible II,Action,Adventure,Thriller
Jurassic Park III,Action,Adventure,Sci-Fi
From Dusk Till Dawn,Action,Crime,Horror
Quantum of Solace,Action,Adventure,Thriller
Okja,Action,Adventure,Drama
Power Rangers,Action,Adventure,Fantasy
Armageddon,Action,Adventure,Sci-Fi
Get Smart,Action,Adventure,Comedy
Scott Pilgrim vs. the World,Action,Comedy,Fantasy
The Karate Kid,Action,Drama,Family
The Fighter,Action,Biography,Drama
Hellboy,Action,Adventure,Fantasy
X-Men: Days of Future Past,Action,Adventure,Sci-Fi
Red Sparrow,Action,Drama,Thriller
Mad Max,Action,Adventure,Sci-Fi
Man of Steel,Action,Adventure,Sci-Fi
X-Men,Action,Adventure,Sci-Fi
War of the Worlds,Action,Adventure,Sci-Fi
National Treasure,Action,Adventure,Mystery
The Warriors,Action,Crime,Thriller
Kingdom of Heaven,Action,Adventure,Drama
Chaos Walking,Action,Adventure,Fantasy
Twister,Action,Adventure,Thriller
Thor: Love and Thunder,Action,Adventure,Comedy
Minions: The Rise of Gru,Animation,Adventure,Comedy
Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
Jurassic World Dominion,Action,Adventure,Sci-Fi
Sing 2,Animation,Adventure,Comedy
Everything Everywhere All at Once,Action,Adventure,Comedy
The Man from Toronto,Action,Adventure,Thriller
The Bad Guys,Animation,Adventure,Comedy
Independence Day,Action,Adventure,Sci-Fi
Barbie,Adventure,Comedy,Fantasy
Lightyear,Animation,Action,Adventure
The Northman,Action,Adventure,Drama
Thor: Ragnarok,Action,Adventure,Comedy
The Sea Beast,Animation,Adventure,Comedy
Spider-Man: No Way Home,Action,Adventure,Fantasy
Fantastic Beasts: The Secrets of Dumbledore,Action,Adventure,Fantasy
The Lost City,Action,Adventure,Comedy
No Time to Die,Action,Adventure,Thriller
Morbius,Action,Adventure,Horror
Jurassic Park,Action,Adventure,Sci-Fi
Avatar: The Way of Water,Action,Adventure,Sci-Fi
Thor,Action,Adventure,Fantasy
Minions,Animation,Adventure,Comedy
Dune: Part One,Action,Adventure,Drama
Ghostbusters: Afterlife,Adventure,Comedy,Fantasy
Avengers: Endgame,Action,Adventure,Drama
Eternals,Action,Adventure,Fantasy
Hellboy,Action,Adventure,Fantasy
Despicable Me,Animation,Adventure,Comedy
Star Wars,Action,Adventure,Fantasy
Sonic the Hedgehog 2,Action,Adventure,Comedy
The Goonies,Adventure,Comedy,Family
Inception,Action,Adventure,Sci-Fi
Free Guy,Action,Adventure,Comedy
Thor: The Dark World,Action,Adventure,Fantasy
Interstellar,Adventure,Drama,Sci-Fi
DC League of Super-Pets,Animation,Action,Adventure
Independence Day: Resurgence,Action,Adventure,Sci-Fi
Harry Potter and the Sorcerer's Stone,Adventure,Family,Fantasy
Interceptor,Action,Adventure,Drama
Jurassic World,Action,Adventure,Sci-Fi
Jurassic World: Fallen Kingdom,Action,Adventure,Sci-Fi
Black Panther: Wakanda Forever,Action,Adventure,Drama
Star Wars: Episode I - The Phantom Menace,Action,Adventure,Fantasy
Avatar,Action,Adventure,Fantasy
Doctor Strange,Action,Adventure,Fantasy
Avengers: Infinity War,Action,Adventure,Sci-Fi
Star Wars: Episode IX - The Rise of Skywalker,Action,Adventure,Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Adventure,Fantasy
Expend4bles,Action,Adventure,Thriller
Back to the Future,Adventure,Comedy,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,Action,Adventure,Drama
Elf,Adventure,Comedy,Family
Moonfall,Action,Adventure,Sci-Fi
Chip 'n Dale: Rescue Rangers,Animation,Adventure,Comedy
777 Charlie,Adventure,Comedy,Drama
The Adam Project,Action,Adventure,Comedy
Black Widow,Action,Adventure,Sci-Fi
Enola Holmes,Action,Adventure,Crime
The Suicide Squad,Action,Adventure,Comedy
Guardians of the Galaxy,Action,Adventure,Comedy
The King's Man,Action,Adventure,Thriller
The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
Star Wars: Episode III - Revenge of the Sith,Action,Adventure,Fantasy
Shang-Chi and the Legend of the Ten Rings,Action,Adventure,Fantasy
Star Wars: Episode VI - Return of the Jedi,Action,Adventure,Fantasy
Turning Red,Animation,Adventure,Comedy
Suicide Squad,Action,Adventure,Fantasy
Luck,Animation,Adventure,Comedy
Captain America: The First Avenger,Action,Adventure,Sci-Fi
Doragon boru supa supa hiro,Animation,Action,Adventure
Inglourious Basterds,Adventure,Drama,War
Gladiator,Action,Adventure,Drama
Despicable Me 3,Animation,Adventure,Comedy
The Hunger Games,Action,Adventure,Sci-Fi
Shazam! Fury of the Gods,Action,Adventure,Comedy
Divergent,Action,Adventure,Mystery
Despicable Me 2,Animation,Adventure,Comedy
Spider-Man,Action,Adventure,Sci-Fi
Mad Max: Fury Road,Action,Adventure,Sci-Fi
Fantastic Beasts: The Crimes of Grindelwald,Adventure,Family,Fantasy
Spider-Man: Homecoming,Action,Adventure,Sci-Fi
Deadpool,Action,Adventure,Comedy
The Grand Budapest Hotel,Adventure,Comedy,Crime
Aliens,Action,Adventure,Sci-Fi
Star Wars: Episode II - Attack of the Clones,Action,Adventure,Fantasy
Mission: Impossible - Dead Reckoning - Part One,Action,Adventure,Thriller
Mission: Impossible,Action,Adventure,Thriller
Black Panther,Action,Adventure,Sci-Fi
Rogue One,Action,Adventure,Sci-Fi
The Avengers,Action,Adventure,Sci-Fi
For Your Eyes Only,Action,Adventure,Thriller
The Empire Strikes Back,Action,Adventure,Fantasy
Pirates of the Caribbean: Dead Men Tell No Tales,Action,Adventure,Fantasy
Deliverance,Adventure,Drama,Thriller
Star Wars: Episode VIII - The Last Jedi,Action,Adventure,Fantasy
Fantastic Four,Action,Adventure,Sci-Fi
Captain Marvel,Action,Adventure,Sci-Fi
Venom: Let There Be Carnage,Action,Adventure,Sci-Fi
Star Wars: Episode VII - The Force Awakens,Action,Adventure,Sci-Fi
Mission: Impossible - Fallout,Action,Adventure,Thriller
Idiocracy,Adventure,Comedy,Sci-Fi
The Tomorrow War,Action,Adventure,Drama
The Lord of the Rings: The Return of the King,Action,Adventure,Drama
The Princess Bride,Adventure,Family,Fantasy
Edge of Tomorrow,Action,Adventure,Sci-Fi
Big Hero 6,Animation,Action,Adventure
Iron Man,Action,Adventure,Sci-Fi
Spider-Man: Into the Spider-Verse,Animation,Action,Adventure
Oblivion,Action,Adventure,Sci-Fi
Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
Deadpool 2,Action,Adventure,Comedy
The Amazing Spider-Man,Action,Adventure,Sci-Fi
Casino Royale,Action,Adventure,Thriller
Alita: Battle Angel,Action,Adventure,Sci-Fi
Guardians of the Galaxy Vol. 3,Action,Adventure,Comedy
Dune,Action,Adventure,Sci-Fi
Dune: Part Two,Action,Adventure,Drama
Jumanji: The Next Level,Action,Adventure,Comedy
The Lost World: Jurassic Park,Action,Adventure,Sci-Fi
Zack Snyder's Justice League,Action,Adventure,Fantasy
Legend,Adventure,Fantasy,Romance
The Revenant,Action,Adventure,Drama
Moana,Animation,Adventure,Comedy
Sonic the Hedgehog,Action,Adventure,Comedy
The Blue Lagoon,Adventure,Drama,Romance
Fantastic Beasts and Where to Find Them,Adventure,Family,Fantasy
Transformers,Action,Adventure,Sci-Fi
Ready Player One,Action,Adventure,Sci-Fi
Toy Story,Animation,Adventure,Comedy
Star Trek,Action,Adventure,Sci-Fi
The Lion King,Animation,Adventure,Drama
The Fifth Element,Action,Adventure,Sci-Fi
Pirates of the Caribbean: On Stranger Tides,Action,Adventure,Fantasy
The Railway Children Return,Adventure,Drama,Family
Kingsman: The Secret Service,Action,Adventure,Comedy
Big Trouble in Little China,Action,Adventure,Comedy
The Little Mermaid,Adventure,Family,Fantasy
Pirates of the Caribbean: Dead Man's Chest,Action,Adventure,Fantasy
Beast,Adventure,Drama,Horror
Solo: A Star Wars Story,Action,Adventure,Sci-Fi
Cars,Animation,Adventure,Comedy
Spider-Man 3,Action,Adventure,Sci-Fi
Sen to Chihiro no kamikakushi,Animation,Adventure,Family
The Hunger Games: The Ballad of Songbirds and Snakes,Action,Adventure,Drama
Scooby-Doo,Adventure,Comedy,Family
Starship Troopers,Action,Adventure,Sci-Fi
Predator,Action,Adventure,Horror
Annihilation,Adventure,Drama,Horror
Disenchanted,Animation,Adventure,Comedy
Speed,Action,Adventure,Thriller
Almost Famous,Adventure,Comedy,Drama
Cruella,Adventure,Comedy,Crime
Octopussy,Action,Adventure,Thriller
The Magnificent Seven,Action,Adventure,Western
Spider-Man: Far from Home,Action,Adventure,Sci-Fi
The Mummy,Action,Adventure,Fantasy
The Lord of the Rings: The Two Towers,Action,Adventure,Drama
Captain America: The Winter Soldier,Action,Adventure,Sci-Fi
The NeverEnding Story,Adventure,Drama,Family
The Green Knight,Adventure,Drama,Fantasy
Spectre,Action,Adventure,Thriller
The Flash,Action,Adventure,Fantasy
Avengers: Age of Ultron,Action,Adventure,Sci-Fi
The Marvels,Action,Adventure,Fantasy
Mortal Engines,Action,Adventure,Fantasy
Harry Potter and the Goblet of Fire,Adventure,Family,Fantasy
The Mummy,Action,Adventure,Fantasy
Pirates of the Caribbean: At World's End,Action,Adventure,Fantasy
Harry Potter and the Deathly Hallows: Part 1,Adventure,Family,Fantasy
Mission: Impossible - Ghost Protocol,Action,Adventure,Thriller
Jaws 2,Adventure,Horror,Thriller
Captain America: Civil War,Action,Adventure,Sci-Fi
Aquaman,Action,Adventure,Fantasy
Willow,Action,Adventure,Drama
Charlie and the Chocolate Factory,Adventure,Comedy,Family
Ratatouille,Animation,Adventure,Comedy
The Amazing Spider-Man 2,Action,Adventure,Sci-Fi
Wonder Woman,Action,Adventure,Fantasy
Batgirl,Action,Adventure,Crime
Total Recall,Action,Adventure,Sci-Fi
Zootopia,Animation,Adventure,Comedy
Mission: Impossible II,Action,Adventure,Thriller
Harry Potter and the Deathly Hallows: Part 2,Adventure,Fantasy,Mystery
Jurassic Park III,Action,Adventure,Sci-Fi
Quantum of Solace,Action,Adventure,Thriller
Okja,Action,Adventure,Drama
Power Rangers,Action,Adventure,Fantasy
Armageddon,Action,Adventure,Sci-Fi
Get Smart,Action,Adventure,Comedy
Prometheus,Adventure,Mystery,Sci-Fi
Hellboy,Action,Adventure,Fantasy
X-Men: Days of Future Past,Action,Adventure,Sci-Fi
Mad Max,Action,Adventure,Sci-Fi
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Drama,Fantasy
The Martian,Adventure,Drama,Sci-Fi
Man of Steel,Action,Adventure,Sci-Fi
X-Men,Action,Adventure,Sci-Fi
War of the Worlds,Action,Adventure,Sci-Fi
National Treasure,Action,Adventure,Mystery
E.T. the Extra-Terrestrial,Adventure,Family,Sci-Fi
Kingdom of Heaven,Action,Adventure,Drama
Chaos Walking,Action,Adventure,Fantasy
Twister,Action,Adventure,Thriller
Battleship,Action,Adventure,Sci-Fi
Jungle Cruise,Action,Adventure,Comedy
Apocalypto,Action,Adventure,Drama
Toy Story 4,Animation,Adventure,Comedy
Furiosa,Action,Adventure,Sci-Fi
Into the Wild,Adventure,Biography,Drama
Jumanji: Welcome to the Jungle,Action,Adventure,Comedy
Beauty and the Beast,Adventure,Family,Fantasy
Cold Mountain,Adventure,Drama,History
Luca,Animation,Adventure,Comedy
Mission: Impossible III,Action,Adventure,Thriller
Venom,Action,Adventure,Sci-Fi
Cast Away,Adventure,Drama,Romance
Mission: Impossible - Rogue Nation,Action,Adventure,Thriller
The Fast and the Furious,Action,Adventure,Crime
The Count of Monte Cristo,Action,Adventure,Drama
Kingsman: The Golden Circle,Action,Adventure,Comedy
Men in Black,Action,Adventure,Comedy
Harry Potter and the Chamber of Secrets,Adventure,Family,Fantasy
Reign of Fire,Action,Adventure,Fantasy
Wonder Woman 1984,Action,Adventure,Fantasy
Dr. No,Action,Adventure,Thriller
John Carter,Action,Adventure,Sci-Fi
Frozen,Animation,Adventure,Comedy
The Wizard of Oz,Adventure,Family,Fantasy
Pinocchio,Adventure,Comedy,Drama
Harry Potter and the Prisoner of Azkaban,Adventure,Family,Fantasy
Skyfall,Action,Adventure,Thriller
The Hitchhiker's Guide to the Galaxy,Adventure,Comedy,Sci-Fi
Conan the Barbarian,Action,Adventure,Fantasy
Finding Nemo,Animation,Adventure,Comedy
The Lion King,Animation,Adventure,Drama
Thor: Love and Thunder,Action,Adventure,Comedy
Minions: The Rise of Gru,Animation,Adventure,Comedy
Sing 2,Animation,Adventure,Comedy
Everything Everywhere All at Once,Action,Adventure,Comedy
The Bad Guys,Animation,Adventure,Comedy
Barbie,Adventure,Comedy,Fantasy
Hustle,Comedy,Drama,Sport
The Unbearable Weight of Massive Talent,Action,Comedy,Crime
Thor: Ragnarok,Action,Adventure,Comedy
The Sea Beast,Animation,Adventure,Comedy
The Lost City,Action,Adventure,Comedy
Hocus Pocus 2,Comedy,Family,Fantasy
Father of the Bride,Comedy,Drama,Romance
Minions,Animation,Adventure,Comedy
Ghostbusters: Afterlife,Adventure,Comedy,Fantasy
Jug Jugg Jeeyo,Comedy,Drama,Family
The Wolf of Wall Street,Biography,Comedy,Crime
Despicable Me,Animation,Adventure,Comedy
Sonic the Hedgehog 2,Action,Adventure,Comedy
Jerry & Marge Go Large,Biography,Comedy,Drama
Love & Gelato,Comedy,Drama,Romance
The Goonies,Adventure,Comedy,Family
"Hello, Goodbye and Everything in Between",Comedy,Drama,Romance
Free Guy,Action,Adventure,Comedy
Mr. Malcolm's List,Comedy,Drama,Romance
DC League of Super-Pets,Animation,Action,Adventure
Licorice Pizza,Comedy,Drama,Romance
Verdens verste menneske,Comedy,Drama,Romance
Encanto,Animation,Comedy,Family
Sing,Animation,Comedy,Family
The Sandlot,Comedy,Drama,Family
The Gentlemen,Action,Comedy,Crime
Hocus Pocus,Comedy,Family,Fantasy
CODA,Comedy,Drama,Music
Marry Me,Comedy,Music,Romance
Back to the Future,Adventure,Comedy,Sci-Fi
Elf,Adventure,Comedy,Family
Don't Look Up,Comedy,Drama,Sci-Fi
Chip 'n Dale: Rescue Rangers,Animation,Adventure,Comedy
777 Charlie,Adventure,Comedy,Drama
American Made,Action,Comedy,Crime
The Adam Project,Action,Adventure,Comedy
The Suicide Squad,Action,Adventure,Comedy
Guardians of the Galaxy,Action,Adventure,Comedy
Spree,Action,Comedy,Crime
Blasted,Action,Comedy,Sci-Fi
Jojo Rabbit,Comedy,Drama,War
